food_id,food_name,caloric_value,protein,carbohydrates,fat
1,cream cheese,51.0,0.9,0.8,5.0
2,neufchatel cheese,215.0,7.8,3.1,19.4
3,requeijao cremoso light catupiry,49.0,0.8,0.9,3.6
4,ricotta cheese,30.0,1.5,1.5,2.0
5,cream cheese low fat,30.0,1.2,1.2,2.3
6,cream cheese fat free,19.0,2.8,1.4,0.2
7,gruyere cheese,116.0,8.3,0.1,9.1
8,cheddar cheese,113.0,6.4,0.9,9.3
9,parmesan cheese,71.0,6.4,0.6,4.5
10,romano cheese,19.0,1.6,0.2,1.3
11,parmesan cheese grated,21.0,1.4,0.7,1.4
12,port salut cheese,465.0,31.4,0.8,37.2
13,swiss cheese,98.0,6.7,0.4,7.7
14,goat cheese hard,128.0,8.6,0.6,10.1
15,gouda cheese,100.0,7.0,0.6,7.7
16,pepper jack cheese lucerne,75.0,5.0,0.0,6.0
17,caraway cheese,106.0,7.1,0.9,8.3
18,gjetost cheese,1058.0,21.9,96.8,67.0
19,tilsit cheese,136.0,9.8,0.8,10.4
20,goat cheese,103.0,6.1,0.01,8.4
21,brick cheese,111.0,7.0,0.8,8.9
22,asadero cheese,402.0,25.5,3.2,31.9
23,camembert cheese,90.0,5.9,0.1,7.3
24,provolone cheese reduced fat,310.0,27.9,4.0,19.9
25,roquefort cheese,314.0,18.3,1.7,26.0
26,queso blanco cheese,366.0,24.0,3.0,28.7
27,queso seco cheese,315.0,23.8,2.0,23.6
28,goat cheese soft,75.0,5.2,0.0,6.0
29,mozzarella cheese,90.0,6.7,0.7,6.6
30,chihuahua cheese,494.0,28.5,7.3,39.2
31,limburger cheese,98.0,6.0,0.1,8.2
32,muenster cheese,486.0,30.9,1.5,39.7
33,queso fresco cheese,365.0,22.1,3.6,29.1
34,brie cheese,100.0,6.2,0.1,8.3
35,pimento cheese,525.0,31.0,2.4,43.7
36,mexican cheese,316.0,27.7,3.8,21.7
37,feta cheese,80.0,4.3,1.2,6.4
38,mozzarella cheese fat free,159.0,35.8,4.0,0.0
39,provolone cheese,463.0,33.8,2.8,35.1
40,anejo cheese,492.0,28.3,6.1,39.6
41,honey,64.0,0.08,17.3,0.0
42,apple butter,35.0,0.05,8.5,0.06
43,fruit jam,56.0,0.0,13.8,0.1
